nombre,direccion,edad,curp,ine_clave,seccion_id,confidence_score,apellido_paterno,apellido_materno,telefono,calle,colonia,municipio,cp
"Rosario Quintero de la cruz Márquez Quintairos Patiño","Rincón Isabel 788 Esc. 772","88","JJDXI5PHWWWSP8WCJS","DXE2QDMIU4AXBII8BB","536","1","Quintero de la cruz Márquez","Quintairos Patiño","503871193","Subida Josefina Bañuelos","Vía Pública Alicia Escobar, 4","Querétaro","71067"
"Daniela Olivares de Lugo Cardenas Vásquez","Municipio Luz Perales 25 Puerta 415","55","EJRV6KYJKP6NLCK6DH","BDNVR47IFT2A7PJH0T","511","1","Olivares de Lugo","Cardenas Vásquez","553327818","Carretera Repúplica de Argentina","Lado Rosalia 53","Querétaro","28720"
"Sergio Rojo Palacios Rangel Piña","Travesía Ángel Gabriel, 7 Esc. 261","22","VKN4VNDQWEWXPHS25X","GXYTVZVGTB4EMKZAH2","536","1","Rojo Palacios","Rangel Piña","565838919","Mercado Araceli Benavídez","Apartamento Juan Téllez, 8","Querétaro","15588"
"Mariana Montemayor Maestas Muro Macías","Bajada Esperanza Véliz s/n. Esc. 863","39","3P7LZUOHRBC8HEMSHR","40AJD7S27ULCTZPPTC","502","1","Montemayor Maestas","Muro Macías","529763308","Arrabal María de los Ángeles Alonso","Barrio Horacio Báez 2644","Querétaro","40453"
"Lilia Viera Muro Ayala de Menéndez","Jardines San Miguel s/n. Puerta 240","34","VJSQ25KKDOAYJM3PD4","DMGG20NDXWDUSVXS59","544","1","Viera Muro","Ayala de Menéndez","572.194.754","Prolongación Catalina","Plaza Joaquín Ayala 357","Querétaro","26986"
"Marcos Sánchez Hernádez Gaytán Quiñones","Jardines Eje 6, 38 Edificio 5","47","ZLJZ0JRTAGX8QEGAUY","ABIZHJRDBQBPHISYD9","516","1","Sánchez Hernádez","Gaytán Quiñones","5387-510-246","Jardines Arturo Padilla","Municipio José Antonio Huixtlacatl, 28","Querétaro","84776"
"Guillermina Batista Tirado Villanueva Ureña","Ferrocarril Yamileth, 6 Puerta 766","39","2AOXXMUJRHAKZHURVX","GRS6XUCIXQKMLE3I6Q","520","1","Batista Tirado","Villanueva Ureña","573 272 346","Ronda Óscar","Rincón Cinco de Mayo s/n.","Querétaro","51434"
"Valeria Colón Romero Verdugo Murillo","Avenida Antonio 8 Esc. 943","20","NN2DNVACZOLFNVCN6I","UN2X5CG50QG9YRI04Y","514","1","Colón Romero","Verdugo Murillo","589602404","Apartamento La otra banda","Colonia María Elena 1457","Querétaro","36669"
"Jesús Mercado Villegas Prado Flórez","Terrenos Micaela Sánchez 10 Edificio 8","83","EPMKKVYUCVB9U1K8YM","05II5P8ROF55OBAZM5","533","1","Mercado Villegas","Prado Flórez","591 460 932","Rincón Josefina Cornejo","Gran Subida Polotitlan, 29","Querétaro","28853"
"Julio César Montes Maldonado Esquivel Carrion","Barranco Coruña 85 Esc. 947","76","XUURPMJ0PG8DQZV2ZP","V2THG8XM8GQQ1BPDCG","522","1","Montes Maldonado","Esquivel Carrion","5434-214-605","Extramuros Juan Manuel Karen","Edificio Juárez 441","Querétaro","29386"
"Brayan Muñoz de Canales Amador Arevalo","Municipio Francisca 7 Esc. 894","79","BMYVTMZMT310ROTRKD","7IFWVG4CD5H7PUCCHE","524","1","Muñoz de Canales","Amador Arevalo","579 522 670","Glorieta María de Jesús Hernandes","Municipio Yolanda 264","Querétaro","57153"
"Alondra Romina Benítez Kranz sans Mercado Urías","Escalinata Amores 95 Esc. 632","39","XQUPTIJ5FANSBFA27X","HKICQQFEFWQVAXVWQL","514","1","Benítez Kranz sans","Mercado Urías","579 275 360","Jardines Elisa Alejandro","Parcela Kevin 1","Querétaro","07777"
"Concepción Cabán Morales Caraballo de Ceja","Conjunto Julieta Castañeda 89 Puerta 957","27","9MYCUUQMGHH8GKQG4S","QNTLFWDCGMLGD4VR9C","536","1","Cabán Morales","Caraballo de Ceja","5979-353-096","Arroyo María José","Arroyo Lizbeth 8","Querétaro","63544"
"María Eugenia Lebrón Baca Cadena Martínez","Puerta Cedro, 2 Edificio 5","31","0ZSTPMGUXPIGYC1FLH","JUJKBJLTN9RS70SVUI","536","1","Lebrón Baca","Cadena Martínez","544049805","Calle Sara","Glorieta Gael 6","Querétaro","97290"
"Nicole López Frías Altamirano de Arce","Barrio Repúplica de Argentina 7062 Esc. 604","77","GUNAZZ2VXNGWO1RRIX","NXKV6Y2AHT1ZEF0S27","524","1","López Frías","Altamirano de Arce","539.825.452","Arrabal Lorena","Parque Kevin Meza, 30","Querétaro","09047"
"Carlos Ocampo Rojas Navarrete Guillen","Conjunto Cinco de Mayo 968 Puerta 607","39","WSBS1EIOM0HKTIRX3M","WPWTZILGULFUWSEH9X","529","1","Ocampo Rojas","Navarrete Guillen","5162-324-444","Escalinata Coyoacán","Sección Miguel Ángel de Quevedo 57","Querétaro","44120"
"Alondra Romina Campos Espino Benavides de Briones","Apartamento Cinco de Mayo s/n. Esc. 202","60","T3VZ2EW4EJFGSMASOJ","84WAOZUL4A5GRKSLMM","538","1","Campos Espino","Benavides de Briones","5811-793-225","Prolongación Germán","Calle Avena 5269","Querétaro","49306"
"Melany Peralta Vallejo Suárez Sepúlveda","Explanada Barrio la Lonja, 3 Puerta 642","86","HP7AACGB8JDRBRQUPA","SNYEKT4XX2COGZIZL9","508","1","Peralta Vallejo","Suárez Sepúlveda","5536-646-575","Monte José","Torrente Silvia Calvillo, 76","Querétaro","97011"
"Octavio Otero de Luevano Sarabia Paredes","Bajada Ivan Zepeda 3 Esc. 731","40","4CBCXWAZMXK4FWTSUN","IJPN2YMPFKBBKLTGBE","526","1","Otero de Luevano","Sarabia Paredes","5641-388-610","Polígono Miguel Ángel de Quevedo","Gran Subida Valeria Cedillo 849","Querétaro","36350"
"Josefina Villareal de Tafoya Solorzano Pedraza","Caserio Repúplica de Cuba s/n. Puerta 597","48","OMWJMRBYLCXHTPMKNI","MIYXE6VMCYJYZYNLRY","530","1","Villareal de Tafoya","Solorzano Pedraza","560028135","Barrio Rosario Kano","Ferrocarril Barrio la Lonja, 3","Querétaro","14086"
"María Elena Angulo Estévez Haro Prado","Lado Manuel 4 Edificio 6","50","TWOIBIPL6SGQFA1FFY","IM998DMKKKGVIUUUZN","518","1","Angulo Estévez","Haro Prado","593.161.731","Lugar Guadalupe Armendáriz","Subida Norma s/n.","Querétaro","79579"
"Gloria Cazares Pineda Trejo Quintairos","Riera Norma 995 Edificio 7","70","ZGZQALNO3BBBG1EWEK","1EOIP8PAN8H7YYSBLM","536","1","Cazares Pineda","Trejo Quintairos","599231477","Terrenos Irene","Extramuros Abril Valverde 19","Querétaro","21235"
"Elizabeth Acosta Duran Reséndez de Rael","Urbanización Balcón de los edecanes, 88 Esc. 621","18","AHDCEFS7IQFPUMRKPP","MWQHTTM8CHYS9HRBNP","504","1","Acosta Duran","Reséndez de Rael","5536-031-008","Jardines Miguel","Rampa Lucas 183","Querétaro","47931"
"Maximiliano Flores de Beltrán Guzmán de Barela","Puerta La viga, 90 Puerta 531","86","GEDVMMPTGADRDNICEK","OYSNMKHVCYVT4ISXO9","514","1","Flores de Beltrán","Guzmán de Barela","585113265","Quinta Mauricio Ballesteros","Muelle Calimaya 292","Querétaro","88316"
"Concepción Valentín de Caldera Murillo Jaimes","Solar Olivia Meraz, 4 Puerta 383","57","JS4HNEGNGGGRX6UVNX","GZGYZQG7ZSMD0XWDPF","505","1","Valentín de Caldera","Murillo Jaimes","581 741 171","Caserio Virginia Roybal","Travesía Avena 8405","Querétaro","43264"
"Liliana Zelaya de Korta hernandez Treviño Verdugo","Extrarradio Axel, 31 Esc. 994","35","2NSUKYNL7HKDGHGFKD","LXXFOB8MMD8TZF2D3E","529","1","Zelaya de Korta hernandez","Treviño Verdugo","568.310.657","Vía Pública Brandon Calderón","Sección Piedra del Comal s/n.","Querétaro","65050"
