nombre,telefono,email,lat,lng,activo,seccion_id
"Catalina Rael Adame","512 218 417","Laura.PeralesChacon49@gmail.com","20.6752","-100.4151","true","526"
"Pedro Gurule Yago","554675091","Xochitl62@hotmail.com","20.6047","-100.4866","true","529"
"Nicolás Alfaro Verdugo","563 607 610","Manuela52@yahoo.com","20.655","-100.3414","true","512"
"Barbara Piña Esquibel","502 562 922","Guillermina98@yahoo.com","20.528","-100.4852","true","519"
"María de los Ángeles Carbajal Alva Jr.","571.631.334","Daniela.VerduzcoNieto50@gmail.com","20.6723","-100.4615","true","549"
"Víctor Alcala de Garica Ing.","5743-243-399","Elias76@gmail.com","20.562","-100.4289","true","517"
"Natalia Rico Xairo Belmonte","574 812 412","VictorManuel.ChavarriadeQuevedo@gmail.com","20.52","-100.411","true","524"
"Laura Delvalle Osorio","546460695","Arturo.GuardadoLucio95@yahoo.com","20.5766","-100.4677","true","541"
"Sr. Saúl Villaseñor Reyes","576643956","Elias_VigilGil1@corpfolder.com","20.5959","-100.3853","true","545"
"Claudio Candelaria de Arellano","520.805.385","Graciela64@hotmail.com","20.6617","-100.3578","true","538"
"Ignacio Ocasio Quintana","5229-609-923","Olivia60@corpfolder.com","20.6976","-100.3312","true","508"
"Hernán Santacruz Corrales","591 852 198","Francisco.MondragonOrnelas@yahoo.com","20.5094","-100.3256","true","506"
"Ana María Tamez Zamarreno","561381465","Nicole.ZunigaRael@gmail.com","20.5004","-100.4783","true","517"
"Abigail Sarabia de Saucedo","5619-995-459","Ramiro_MarquezKamal@corpfolder.com","20.6399","-100.3022","true","530"
"Raúl Villanueva Urías","567 766 835","MariadelCarmen_SalcedoCastellanos@corpfolder.com","20.5153","-100.4303","true","548"
"Antonio Gil Naranjo V","531940564","Isaias57@corpfolder.com","20.6099","-100.4501","true","543"
"Sr. Eduardo Holguín Polanco","504.675.463","Horacio24@yahoo.com","20.6705","-100.4003","true","545"
"María de los Ángeles Cordero Orellana","5182-065-785","Julieta_ManzanaresLozano85@hotmail.com","20.527","-100.4645","true","540"
"Claudia Mora Briseño","542963079","Marcela.ValdesMondragon@hotmail.com","20.6093","-100.3072","true","507"
"Jorge Ledesma de Casárez","577 454 658","Joaquin.ArmasArana94@nearbpo.com","20.6881","-100.366","true","513"
"José Miguel Perales de Alanis","5174-684-483","Paola9@hotmail.com","20.5254","-100.4943","true","641"
"Felipe Bañuelos Carrero","568 227 245","Daniel_RojoToledo35@corpfolder.com","20.5965","-100.3054","true","630"
"Lorenzo Hernádez Granado","560769704","Araceli_KardachesotoKranzsans@corpfolder.com","20.6136","-100.3428","true","624"
"Lorena Colunga Berríos","533.484.967","Daniela1@hotmail.com","20.5974","-100.4039","true","641"
"Abril Rosales Barrios","5595-936-693","AnaMaria87@yahoo.com","20.6771","-100.3773","true","650"
"David Mares Salazar","524.036.548","LuisFernando46@yahoo.com","20.5992","-100.3806","true","626"
"Manuela Domínquez Quiñónez","538 980 947","Clemente94@hotmail.com","20.5549","-100.4083","true","603"
"Roberto Ramírez Cardona","575 750 455","FranciscoJavier.EsquibelOntiveros@corpfolder.com","20.6735","-100.3475","true","644"
"Rebeca Zambrana Borrego","537299741","Manuel75@gmail.com","20.5264","-100.3494","true","626"
"Marilu Duran de Olmos Jr.","552.635.845","Monserrat24@gmail.com","20.6615","-100.3461","true","648"
"Juan Manuel Aparicio Xicoy","539.845.836","MariadeJesus_VillegasGastelum@hotmail.com","20.5318","-100.3775","true","647"
"Regina Gamez Saldivar","599960708","RosaMaria.ZepedaKarem@yahoo.com","20.5982","-100.4278","true","635"
"Luis Covarrubias Urrutia","506 234 713","Abraham.YanesEscobedo32@gmail.com","20.5498","-100.3673","true","619"
"Ana Luisa Rico Marín","519 859 672","VictorManuel_MaldonadoGutierrez@nearbpo.com","20.677","-100.4868","true","631"
"Cristobal Abreu Korta hernandez","5939-806-817","Carla_OlmosGarrido@nearbpo.com","20.5719","-100.4372","true","638"
"Ramona Sisneros Xana","536 526 162","LuisMiguel3@nearbpo.com","20.5057","-100.4778","true","622"
"María Teresa Holguín de Ulibarri","5373-743-335","Isaac54@nearbpo.com","20.5085","-100.381","true","634"
"Mario Cotto Bernal","579832517","Teresa_MascarenasRolon50@nearbpo.com","20.6821","-100.3788","true","614"
"Lizbeth Balderas de Koenig","510.927.837","Daniel.NajeradeRangel@hotmail.com","20.67","-100.3307","true","617"
"Octavio Saavedra de Acuña","514 617 747","MariadelCarmen_RomeroJaquez20@hotmail.com","20.6738","-100.4296","true","622"
